core_name,standardized_name
CLARIANT THAILAND,CLARIANT
CLARIANT AG,CLARIANT
CLARIANT,CLARIANT
PROCTER AND GAMBLE,PROCTER & GAMBLE
PT PROCTER AND GAMBLE OPERATIONS INDONESIA,PROCTER & GAMBLE
PROCTER GAMBLE PHILIPPINES,PROCTER & GAMBLE
PROCTER GAMBLE,PROCTER & GAMBLE
UNILEVER NEPAL,UNILEVER
UNILEVER BANGLADESH,UNILEVER
UNILEVER PHILIPPINES,UNILEVER
UNILEVER,UNILEVER
SIGMA ALDRICH CHEMICALS,SIGMA-ALDRICH
SIGMA ALDRICH INTERNATIONAL,SIGMA-ALDRICH
SIGMA ALDRICH,SIGMA-ALDRICH
TOKYO CHEMICAL INDUSTRY INDIA,TOKYO CHEMICAL INDUSTRY
TOKYO CHEMICAL INDUSTRY,TOKYO CHEMICAL INDUSTRY
TCI,TOKYO CHEMICAL INDUSTRY
KUMAR ORGANIC PRODUCTS,KUMAR ORGANIC PRODUCTS
ASIA PRIMERA KIMIKA,ASIA PRIMERA KIMIKA
DKSH PHILIPPINES,DKSH
D K S H PHILIPPINES,DKSH
DKSH,DKSH
MERCK,MERCK
CRODA INDIA,CRODA
CRODA,CRODA
ARXADA SERVICES,ARXADA
ARXADA,ARXADA
SYMRISE,SYMRISE
BAJA FUR,BAJA FUR
MAC NELS MALAYSIA,MAC NELS
MAC NELS,MAC NELS
DAMIAN TRADING,DAMIAN TRADING
INTERNATIONAL PHARMACEUTICALS,INTERNATIONAL PHARMACEUTICALS
HOMEPRO GH COMPANY,HOMEPRO
HOMEPRO,HOMEPRO
MOLECULES ANALYTICAL LAB SOLUTIONS,MOLECULES ANALYTICAL
QUIMICA ISA,QUIMICA ISA
KEDS TANZANIA,KEDS
KEDS,KEDS
ALNAIM DRUG,ALNAIM DRUG
MEGASETIA AGUNG KIMIA,MEGASETIA AGUNG
PT MEGASETIA AGUNG KIMIA,MEGASETIA AGUNG
MEGASETIA AGUNG,MEGASETIA AGUNG
NEW DAY INTERNATIONAL,NEW DAY INTERNATIONAL
KYROVET LABORATORIES,KYROVET LABORATORIES
UNITED STATES PHARMACOPEIA,USP
USP,USP
MBB PRODUCTION MEXICO,MBB PRODUCTION
E AND M,E & M
HIKAL,HIKAL LTD
HIKAL LIMITED,HIKAL LTD
BASF,BASF
BASF INDIA,BASF
EVONIK,EVONIK
EVONIK INDUSTRIES,EVONIK
LANXESS,LANXESS
SOLVAY,SOLVAY
WACKER,WACKER
DSM FIRMENICH,DSM-FIRMENICH
DSM,DSM-FIRMENICH
IFF,IFF
INTERNATIONAL FLAVORS FRAGRANCES,IFF
GIVAUDAN,GIVAUDAN
FIRMENICH,FIRMENICH
LONZA,LONZA
THERMO FISHER,THERMO FISHER
THERMO FISHER SCIENTIFIC,THERMO FISHER
VWR,VWR
SARTORIUS,SARTORIUS
AGILENT,AGILENT
WATERS,WATERS
SUN PHARMA,SUN PHARMA
SUN PHARMACEUTICAL,SUN PHARMA
DR REDDYS,DR REDDYS
DR REDDYS LABORATORIES,DR REDDYS
CIPLA,CIPLA
AUROBINDO,AUROBINDO
LUPIN,LUPIN
DIVIS LABORATORIES,DIVIS
PI INDUSTRIES,PI INDUSTRIES
CÔNG TY TNHH THƯƠNG MẠI H B C,CÔNG TY
ALPHA ANALYTICS FZC,ALPHA ANALYTICS
ORBIT LABORATORIES,ORBIT LABS
ORBIT LABS,ORBIT LABS
NOVA BIO TECH CO,NOVA BIO TECH
NOVA BIOTECH,NOVA BIO TECH
